PROJECT,OPERATOR,FID_YEAR,TOTAL_CAPEX_USD_MM,DEVELOPMENT_TYPE,WELL_COUNT,STAGE,SHARE_MID,COST_MID_USD_MM,COST_LOW_USD_MM,COST_HIGH_USD_MM,PROVENANCE,METHOD
Tyra Redevelopment,TotalEnergies,2017,3400.0,new_host_fixed,,surf,0.1400,476.0,272.0,680.0,allocated,"Top-down back-allocation of a disclosed $3,400MM total. Shares: ASSUMED prior for new_host_fixed. no well-count tilt (well count not disclosed). Rationale: Fixed steel jacket / gravity-base platform (Clair Ridge, Tyra, Johan Sverdrup P2 class). Relative to a floater: HOST and INSTALL take a larger share (heavy jacket fabrication and a heavy-lift install campaign), while SURF takes less — wells are frequently drilled from the platform itself rather than tied back subsea, so there is less flowline and no riser/mooring system to buy."
Tyra Redevelopment,TotalEnergies,2017,3400.0,new_host_fixed,,complete,0.1200,408.0,238.0,578.0,allocated,"Top-down back-allocation of a disclosed $3,400MM total. Shares: ASSUMED prior for new_host_fixed. no well-count tilt (well count not disclosed). Rationale: Fixed steel jacket / gravity-base platform (Clair Ridge, Tyra, Johan Sverdrup P2 class). Relative to a floater: HOST and INSTALL take a larger share (heavy jacket fabrication and a heavy-lift install campaign), while SURF takes less — wells are frequently drilled from the platform itself rather than tied back subsea, so there is less flowline and no riser/mooring system to buy."
Tyra Redevelopment,TotalEnergies,2017,3400.0,new_host_fixed,,install,0.1000,340.0,170.0,510.0,allocated,"Top-down back-allocation of a disclosed $3,400MM total. Shares: ASSUMED prior for new_host_fixed. no well-count tilt (well count not disclosed). Rationale: Fixed steel jacket / gravity-base platform (Clair Ridge, Tyra, Johan Sverdrup P2 class). Relative to a floater: HOST and INSTALL take a larger share (heavy jacket fabrication and a heavy-lift install campaign), while SURF takes less — wells are frequently drilled from the platform itself rather than tied back subsea, so there is less flowline and no riser/mooring system to buy."
Tyra Redevelopment,TotalEnergies,2017,3400.0,new_host_fixed,,hookup,0.0600,204.0,102.0,306.0,allocated,"Top-down back-allocation of a disclosed $3,400MM total. Shares: ASSUMED prior for new_host_fixed. no well-count tilt (well count not disclosed). Rationale: Fixed steel jacket / gravity-base platform (Clair Ridge, Tyra, Johan Sverdrup P2 class). Relative to a floater: HOST and INSTALL take a larger share (heavy jacket fabrication and a heavy-lift install campaign), while SURF takes less — wells are frequently drilled from the platform itself rather than tied back subsea, so there is less flowline and no riser/mooring system to buy."
Karish & Tanin,Energean,2018,1600.0,new_host_fpso,3,host,0.3478,556.5,396.5,716.5,allocated,"Top-down back-allocation of a disclosed $1,600MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x0.58 for 3 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Karish & Tanin,Energean,2018,1600.0,new_host_fpso,3,surf,0.2783,445.2,317.2,573.2,allocated,"Top-down back-allocation of a disclosed $1,600MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x0.58 for 3 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Karish & Tanin,Energean,2018,1600.0,new_host_fpso,3,drill,0.1488,238.1,110.1,366.1,allocated,"Top-down back-allocation of a disclosed $1,600MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x0.58 for 3 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Karish & Tanin,Energean,2018,1600.0,new_host_fpso,3,install,0.0928,148.4,84.4,212.4,allocated,"Top-down back-allocation of a disclosed $1,600MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x0.58 for 3 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Karish & Tanin,Energean,2018,1600.0,new_host_fpso,3,complete,0.0744,119.0,39.0,199.0,allocated,"Top-down back-allocation of a disclosed $1,600MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x0.58 for 3 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Karish & Tanin,Energean,2018,1600.0,new_host_fpso,3,hookup,0.0580,92.8,44.8,140.8,allocated,"Top-down back-allocation of a disclosed $1,600MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x0.58 for 3 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Zinia Phase 2,Total,2018,1200.0,subsea_tieback,9,drill,0.4210,505.1,385.1,625.1,allocated,"Top-down back-allocation of a disclosed $1,200MM total. Shares: ASSUMED prior for subsea_tieback. drill+complete shares tilted x1.62 for 9 wells vs a reference 4 for subsea_tieback (sub-linear, factor 0.5). Rationale: Tieback reuses an existing host, so HOST is near-zero (brownfield tie-in mods only). Wells + SURF carry the project. SURF share is high because the flowline/umbilical run to the host is the defining scope of a tieback."
Zinia Phase 2,Total,2018,1200.0,subsea_tieback,9,surf,0.2286,274.3,166.3,382.3,allocated,"Top-down back-allocation of a disclosed $1,200MM total. Shares: ASSUMED prior for subsea_tieback. drill+complete shares tilted x1.62 for 9 wells vs a reference 4 for subsea_tieback (sub-linear, factor 0.5). Rationale: Tieback reuses an existing host, so HOST is near-zero (brownfield tie-in mods only). Wells + SURF carry the project. SURF share is high because the flowline/umbilical run to the host is the defining scope of a tieback."
Zinia Phase 2,Total,2018,1200.0,subsea_tieback,9,complete,0.1981,237.7,165.7,309.7,allocated,"Top-down back-allocation of a disclosed $1,200MM total. Shares: ASSUMED prior for subsea_tieback. drill+complete shares tilted x1.62 for 9 wells vs a reference 4 for subsea_tieback (sub-linear, factor 0.5). Rationale: Tieback reuses an existing host, so HOST is near-zero (brownfield tie-in mods only). Wells + SURF carry the project. SURF share is high because the flowline/umbilical run to the host is the defining scope of a tieback."
Zinia Phase 2,Total,2018,1200.0,subsea_tieback,9,install,0.0838,100.6,40.6,160.6,allocated,"Top-down back-allocation of a disclosed $1,200MM total. Shares: ASSUMED prior for subsea_tieback. drill+complete shares tilted x1.62 for 9 wells vs a reference 4 for subsea_tieback (sub-linear, factor 0.5). Rationale: Tieback reuses an existing host, so HOST is near-zero (brownfield tie-in mods only). Wells + SURF carry the project. SURF share is high because the flowline/umbilical run to the host is the defining scope of a tieback."
Zinia Phase 2,Total,2018,1200.0,subsea_tieback,9,hookup,0.0381,45.7,9.7,81.7,allocated,"Top-down back-allocation of a disclosed $1,200MM total. Shares: ASSUMED prior for subsea_tieback. drill+complete shares tilted x1.62 for 9 wells vs a reference 4 for subsea_tieback (sub-linear, factor 0.5). Rationale: Tieback reuses an existing host, so HOST is near-zero (brownfield tie-in mods only). Wells + SURF carry the project. SURF share is high because the flowline/umbilical run to the host is the defining scope of a tieback."
Zinia Phase 2,Total,2018,1200.0,subsea_tieback,9,host,0.0305,36.6,0.0,84.6,allocated,"Top-down back-allocation of a disclosed $1,200MM total. Shares: ASSUMED prior for subsea_tieback. drill+complete shares tilted x1.62 for 9 wells vs a reference 4 for subsea_tieback (sub-linear, factor 0.5). Rationale: Tieback reuses an existing host, so HOST is near-zero (brownfield tie-in mods only). Wells + SURF carry the project. SURF share is high because the flowline/umbilical run to the host is the defining scope of a tieback."
Anchor,Chevron,2019,5700.0,new_host_semi,7,host,0.2767,1577.5,1064.5,2090.5,allocated,"Top-down back-allocation of a disclosed $5,700MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x0.94 for 7 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Anchor,Chevron,2019,5700.0,new_host_semi,7,drill,0.2498,1424.1,911.1,1937.1,allocated,"Top-down back-allocation of a disclosed $5,700MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x0.94 for 7 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Anchor,Chevron,2019,5700.0,new_host_semi,7,surf,0.2255,1285.3,829.3,1741.3,allocated,"Top-down back-allocation of a disclosed $5,700MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x0.94 for 7 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Anchor,Chevron,2019,5700.0,new_host_semi,7,complete,0.1249,712.0,427.0,997.0,allocated,"Top-down back-allocation of a disclosed $5,700MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x0.94 for 7 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Anchor,Chevron,2019,5700.0,new_host_semi,7,install,0.0717,409.0,181.0,637.0,allocated,"Top-down back-allocation of a disclosed $5,700MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x0.94 for 7 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Anchor,Chevron,2019,5700.0,new_host_semi,7,hookup,0.0512,292.1,121.1,463.1,allocated,"Top-down back-allocation of a disclosed $5,700MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x0.94 for 7 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Atlantis Phase 3,BP,2019,1300.0,subsea_tieback,8,drill,0.4080,530.4,400.4,660.4,allocated,"Top-down back-allocation of a disclosed $1,300MM total. Shares: ASSUMED prior for subsea_tieback. drill+complete shares tilted x1.50 for 8 wells vs a reference 4 for subsea_tieback (sub-linear, factor 0.5). Rationale: Tieback reuses an existing host, so HOST is near-zero (brownfield tie-in mods only). Wells + SURF carry the project. SURF share is high because the flowline/umbilical run to the host is the defining scope of a tieback."
Atlantis Phase 3,BP,2019,1300.0,subsea_tieback,8,surf,0.2400,312.0,195.0,429.0,allocated,"Top-down back-allocation of a disclosed $1,300MM total. Shares: ASSUMED prior for subsea_tieback. drill+complete shares tilted x1.50 for 8 wells vs a reference 4 for subsea_tieback (sub-linear, factor 0.5). Rationale: Tieback reuses an existing host, so HOST is near-zero (brownfield tie-in mods only). Wells + SURF carry the project. SURF share is high because the flowline/umbilical run to the host is the defining scope of a tieback."
Atlantis Phase 3,BP,2019,1300.0,subsea_tieback,8,complete,0.1920,249.6,171.6,327.6,allocated,"Top-down back-allocation of a disclosed $1,300MM total. Shares: ASSUMED prior for subsea_tieback. drill+complete shares tilted x1.50 for 8 wells vs a reference 4 for subsea_tieback (sub-linear, factor 0.5). Rationale: Tieback reuses an existing host, so HOST is near-zero (brownfield tie-in mods only). Wells + SURF carry the project. SURF share is high because the flowline/umbilical run to the host is the defining scope of a tieback."
Atlantis Phase 3,BP,2019,1300.0,subsea_tieback,8,install,0.0880,114.4,49.4,179.4,allocated,"Top-down back-allocation of a disclosed $1,300MM total. Shares: ASSUMED prior for subsea_tieback. drill+complete shares tilted x1.50 for 8 wells vs a reference 4 for subsea_tieback (sub-linear, factor 0.5). Rationale: Tieback reuses an existing host, so HOST is near-zero (brownfield tie-in mods only). Wells + SURF carry the project. SURF share is high because the flowline/umbilical run to the host is the defining scope of a tieback."
Atlantis Phase 3,BP,2019,1300.0,subsea_tieback,8,hookup,0.0400,52.0,13.0,91.0,allocated,"Top-down back-allocation of a disclosed $1,300MM total. Shares: ASSUMED prior for subsea_tieback. drill+complete shares tilted x1.50 for 8 wells vs a reference 4 for subsea_tieback (sub-linear, factor 0.5). Rationale: Tieback reuses an existing host, so HOST is near-zero (brownfield tie-in mods only). Wells + SURF carry the project. SURF share is high because the flowline/umbilical run to the host is the defining scope of a tieback."
Atlantis Phase 3,BP,2019,1300.0,subsea_tieback,8,host,0.0320,41.6,0.0,93.6,allocated,"Top-down back-allocation of a disclosed $1,300MM total. Shares: ASSUMED prior for subsea_tieback. drill+complete shares tilted x1.50 for 8 wells vs a reference 4 for subsea_tieback (sub-linear, factor 0.5). Rationale: Tieback reuses an existing host, so HOST is near-zero (brownfield tie-in mods only). Wells + SURF carry the project. SURF share is high because the flowline/umbilical run to the host is the defining scope of a tieback."
Azeri Central East (ACG),BP,2019,6000.0,new_host_fixed,,host,0.3400,2040.0,1440.0,2640.0,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_fixed. no well-count tilt (well count not disclosed). Rationale: Fixed steel jacket / gravity-base platform (Clair Ridge, Tyra, Johan Sverdrup P2 class). Relative to a floater: HOST and INSTALL take a larger share (heavy jacket fabrication and a heavy-lift install campaign), while SURF takes less — wells are frequently drilled from the platform itself rather than tied back subsea, so there is less flowline and no riser/mooring system to buy."
Azeri Central East (ACG),BP,2019,6000.0,new_host_fixed,,drill,0.2400,1440.0,960.0,1920.0,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_fixed. no well-count tilt (well count not disclosed). Rationale: Fixed steel jacket / gravity-base platform (Clair Ridge, Tyra, Johan Sverdrup P2 class). Relative to a floater: HOST and INSTALL take a larger share (heavy jacket fabrication and a heavy-lift install campaign), while SURF takes less — wells are frequently drilled from the platform itself rather than tied back subsea, so there is less flowline and no riser/mooring system to buy."
Azeri Central East (ACG),BP,2019,6000.0,new_host_fixed,,surf,0.1400,840.0,480.0,1200.0,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_fixed. no well-count tilt (well count not disclosed). Rationale: Fixed steel jacket / gravity-base platform (Clair Ridge, Tyra, Johan Sverdrup P2 class). Relative to a floater: HOST and INSTALL take a larger share (heavy jacket fabrication and a heavy-lift install campaign), while SURF takes less — wells are frequently drilled from the platform itself rather than tied back subsea, so there is less flowline and no riser/mooring system to buy."
Azeri Central East (ACG),BP,2019,6000.0,new_host_fixed,,complete,0.1200,720.0,420.0,1020.0,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_fixed. no well-count tilt (well count not disclosed). Rationale: Fixed steel jacket / gravity-base platform (Clair Ridge, Tyra, Johan Sverdrup P2 class). Relative to a floater: HOST and INSTALL take a larger share (heavy jacket fabrication and a heavy-lift install campaign), while SURF takes less — wells are frequently drilled from the platform itself rather than tied back subsea, so there is less flowline and no riser/mooring system to buy."
Azeri Central East (ACG),BP,2019,6000.0,new_host_fixed,,install,0.1000,600.0,300.0,900.0,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_fixed. no well-count tilt (well count not disclosed). Rationale: Fixed steel jacket / gravity-base platform (Clair Ridge, Tyra, Johan Sverdrup P2 class). Relative to a floater: HOST and INSTALL take a larger share (heavy jacket fabrication and a heavy-lift install campaign), while SURF takes less — wells are frequently drilled from the platform itself rather than tied back subsea, so there is less flowline and no riser/mooring system to buy."
Azeri Central East (ACG),BP,2019,6000.0,new_host_fixed,,hookup,0.0600,360.0,180.0,540.0,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_fixed. no well-count tilt (well count not disclosed). Rationale: Fixed steel jacket / gravity-base platform (Clair Ridge, Tyra, Johan Sverdrup P2 class). Relative to a floater: HOST and INSTALL take a larger share (heavy jacket fabrication and a heavy-lift install campaign), while SURF takes less — wells are frequently drilled from the platform itself rather than tied back subsea, so there is less flowline and no riser/mooring system to buy."
Liza Phase 2,ExxonMobil,2019,6000.0,new_host_fpso,30,host,0.2703,1621.6,1021.6,2221.6,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.33 for 30 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Liza Phase 2,ExxonMobil,2019,6000.0,new_host_fpso,30,drill,0.2643,1585.6,1105.6,2065.6,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.33 for 30 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Liza Phase 2,ExxonMobil,2019,6000.0,new_host_fpso,30,surf,0.2162,1297.3,817.3,1777.3,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.33 for 30 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Liza Phase 2,ExxonMobil,2019,6000.0,new_host_fpso,30,complete,0.1321,792.8,492.8,1092.8,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.33 for 30 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Liza Phase 2,ExxonMobil,2019,6000.0,new_host_fpso,30,install,0.0721,432.4,192.4,672.4,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.33 for 30 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Liza Phase 2,ExxonMobil,2019,6000.0,new_host_fpso,30,hookup,0.0450,270.3,90.3,450.3,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.33 for 30 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Payara,ExxonMobil,2020,9000.0,new_host_fpso,41,drill,0.2978,2680.0,1960.0,3400.0,allocated,"Top-down back-allocation of a disclosed $9,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.64 for 41 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Payara,ExxonMobil,2020,9000.0,new_host_fpso,41,host,0.2478,2229.9,1329.9,3129.9,allocated,"Top-down back-allocation of a disclosed $9,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.64 for 41 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Payara,ExxonMobil,2020,9000.0,new_host_fpso,41,surf,0.1982,1783.9,1063.9,2503.9,allocated,"Top-down back-allocation of a disclosed $9,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.64 for 41 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Payara,ExxonMobil,2020,9000.0,new_host_fpso,41,complete,0.1489,1340.0,890.0,1790.0,allocated,"Top-down back-allocation of a disclosed $9,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.64 for 41 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Payara,ExxonMobil,2020,9000.0,new_host_fpso,41,install,0.0661,594.6,234.6,954.6,allocated,"Top-down back-allocation of a disclosed $9,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.64 for 41 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Payara,ExxonMobil,2020,9000.0,new_host_fpso,41,hookup,0.0413,371.6,101.6,641.6,allocated,"Top-down back-allocation of a disclosed $9,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.64 for 41 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Sangomar Phase 1,Woodside,2020,4200.0,new_host_fpso,,host,0.3000,1260.0,840.0,1680.0,allocated,"Top-down back-allocation of a disclosed $4,200MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Sangomar Phase 1,Woodside,2020,4200.0,new_host_fpso,,surf,0.2400,1008.0,672.0,1344.0,allocated,"Top-down back-allocation of a disclosed $4,200MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Sangomar Phase 1,Woodside,2020,4200.0,new_host_fpso,,drill,0.2200,924.0,588.0,1260.0,allocated,"Top-down back-allocation of a disclosed $4,200MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Sangomar Phase 1,Woodside,2020,4200.0,new_host_fpso,,complete,0.1100,462.0,252.0,672.0,allocated,"Top-down back-allocation of a disclosed $4,200MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Sangomar Phase 1,Woodside,2020,4200.0,new_host_fpso,,install,0.0800,336.0,168.0,504.0,allocated,"Top-down back-allocation of a disclosed $4,200MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Sangomar Phase 1,Woodside,2020,4200.0,new_host_fpso,,hookup,0.0500,210.0,84.0,336.0,allocated,"Top-down back-allocation of a disclosed $4,200MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Bacalhau Phase 1,Equinor,2021,8000.0,new_host_fpso,19,host,0.2973,2378.2,1578.2,3178.2,allocated,"Top-down back-allocation of a disclosed $8,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.03 for 19 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Bacalhau Phase 1,Equinor,2021,8000.0,new_host_fpso,19,surf,0.2378,1902.6,1262.6,2542.6,allocated,"Top-down back-allocation of a disclosed $8,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.03 for 19 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Bacalhau Phase 1,Equinor,2021,8000.0,new_host_fpso,19,drill,0.2241,1792.5,1152.5,2432.5,allocated,"Top-down back-allocation of a disclosed $8,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.03 for 19 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Bacalhau Phase 1,Equinor,2021,8000.0,new_host_fpso,19,complete,0.1120,896.2,496.2,1296.2,allocated,"Top-down back-allocation of a disclosed $8,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.03 for 19 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Bacalhau Phase 1,Equinor,2021,8000.0,new_host_fpso,19,install,0.0793,634.2,314.2,954.2,allocated,"Top-down back-allocation of a disclosed $8,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.03 for 19 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Bacalhau Phase 1,Equinor,2021,8000.0,new_host_fpso,19,hookup,0.0495,396.4,156.4,636.4,allocated,"Top-down back-allocation of a disclosed $8,000MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x1.03 for 19 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Barossa,Santos,2021,3600.0,new_host_fpso,,host,0.3000,1080.0,720.0,1440.0,allocated,"Top-down back-allocation of a disclosed $3,600MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Barossa,Santos,2021,3600.0,new_host_fpso,,surf,0.2400,864.0,576.0,1152.0,allocated,"Top-down back-allocation of a disclosed $3,600MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Barossa,Santos,2021,3600.0,new_host_fpso,,drill,0.2200,792.0,504.0,1080.0,allocated,"Top-down back-allocation of a disclosed $3,600MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Barossa,Santos,2021,3600.0,new_host_fpso,,complete,0.1100,396.0,216.0,576.0,allocated,"Top-down back-allocation of a disclosed $3,600MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Barossa,Santos,2021,3600.0,new_host_fpso,,install,0.0800,288.0,144.0,432.0,allocated,"Top-down back-allocation of a disclosed $3,600MM total. Shares: ASSUMED prior for new_host_fpso. no well-count tilt (well count not disclosed). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
